40
0 8
8 8
16 8
24 12
36 8
44 12
56 8
64 12
76 8
84 12
96 8
104 12
116 8
124 12
136 8
144 12
156 8
164 12
176 8
184 12
196 8
204 12
216 8
224 12
236 8
244 12
256 8
264 12
276 8
284 12
296 8
304 12
316 8
324 12
336 8
344 12
356 8
364 12
376 8
384 12
c434 76 243
c435 8 643
c436 0 102
c437 0 129
c438 0 111
c439 0 120
c440 0 141
c441 36 213
c442 0 99
c443 16 132
c444 0 135
c445 56 568
c446 36 237
c447 116 363
c448 0 114
c449 16 159
c450 8 527
c451 36 231
c452 116 399
c453 0 126
c454 96 465
c455 0 123
c456 0 153
c457 76 318
c458 16 138
c459 36 252
c460 76 333
c461 36 267
c462 136 534
c463 16 147
c464 96 477
c465 16 162
c466 0 159
c467 0 147
c468 96 438
c469 16 144
c470 96 495
c471 136 588
c472 56 764
c473 96 507
c474 36 797
c475 36 246
c476 16 153
c477 64 50
c478 64 93
c479 44 281
c480 84 0
c481 84 68
c482 44 23
c483 104 72
c484 84 132
c485 84 44
c486 104 95
c487 44 338
c488 24 114
c489 44 121
c490 64 164
c491 84 91
c492 64 64
c493 84 106
c494 104 254
c495 64 243
c496 64 105
c497 64 249
c498 64 184
c499 44 118
c500 84 263
c501 64 170
c502 64 267
c503 24 336
c504 44 256
c505 104 114
c506 104 234
c507 24 232
c508 24 342
c509 64 307
c510 84 354
c511 24 317
c512 24 516
c513 44 232
c514 44 448
c515 84 245
c516 24 370
c517 104 354
c518 84 429
c519 24 440
c520 64 543
c521 104 383
c522 64 537
c523 44 451
c524 24 443
c525 44 370
c526 104 348
c527 104 659
c528 124 242
c529 44 429
c530 44 504
c531 84 463
c532 104 417
c533 84 460
c534 84 487
c535 44 413
c536 24 545
c537 84 504
c538 24 625
c539 64 440
c540 64 490
c541 24 645
c542 44 535
c543 24 504
c544 104 565
c545 104 431
c546 64 415
c547 84 758
c548 44 699
c549 84 626
c550 64 515
c551 44 782
c552 64 590
c553 64 667
c554 64 753
c555 104 597
c556 24 771
c557 204 638
c558 64 661
c559 84 780
c560 104 696
c561 24 664
c562 64 789
c563 124 711
c564 44 724
c565 124 542
c566 64 795
c567 84 704
c568 84 733
c569 184 737
c570 24 681
c571 204 700
c572 144 728
c573 44 779
c574 204 655
c575 84 764
c576 164 636
c577 164 656
c578 104 759
c579 244 610
c580 104 731
c581 204 795
c582 204 778
c583 244 616
c584 184 697
c585 204 621
c586 244 586
c587 244 622
c588 204 781
c589 124 759
c590 244 727
c591 164 791
c592 84 715
c593 224 709
c594 224 717
c595 104 0
c596 44 31
c597 104 133
c598 44 62
c599 84 8
c600 24 47
c601 104 161
c602 24 53
c603 24 204
c604 84 194
c605 64 141
c606 84 112
c607 64 78
c608 84 166
c609 44 47
c610 44 176
c611 64 332
c612 84 129
c613 64 187
c614 64 90
c615 84 266
c616 124 88
c617 24 85
c618 64 301
c619 24 192
c620 64 429
c621 84 257
c622 104 215
c623 44 332
c624 24 252
c625 64 161
c626 84 337
c627 24 277
c628 104 6
c629 64 212
c630 44 317
c631 144 183
c632 84 321
c633 144 117
c634 144 129
c635 104 103
c636 44 521
c637 84 357
c638 24 333
c639 84 236
c640 64 362
c641 104 409
c642 24 362
c643 64 446
c644 124 335
c645 64 468
c646 44 466
c647 64 604
c648 84 443
c649 24 522
c650 44 358
c651 84 481
c652 64 390
c653 44 463
c654 44 576
c655 64 576
c656 44 513
c657 84 421
c658 44 472
c659 24 592
c660 64 529
c661 84 516
c662 64 498
c663 124 606
c664 84 665
c665 24 705
c666 64 607
c667 44 584
c668 124 383
c669 104 467
c670 24 631
c671 64 688
c672 64 696
c673 44 716
c674 84 701
c675 164 426
c676 164 543
c677 104 778
c678 44 675
c679 44 565
c680 124 641
c681 124 559
c682 44 640
c683 84 668
c684 104 714
c685 104 767
c686 144 663
c687 104 653
c688 104 549
c689 64 733
c690 184 770
c691 184 708
c692 144 734
c693 104 722
c694 104 708
c695 164 774
c696 144 751
c697 124 787
c698 164 728
c699 244 583
c700 104 781
c701 144 626
c702 124 779
c703 244 628
c704 244 730
c705 204 661
c706 184 764
c707 184 728
c708 244 634
c709 64 6
c710 24 61
c711 64 126
c712 84 52
c713 104 80
c714 64 12
c715 24 170
c716 84 11
c717 104 57
c718 24 198
c719 124 108
c720 44 127
c721 104 147
c722 104 136
c723 104 9
c724 104 263
c725 104 125
c726 104 139
c727 44 184
c728 44 90
c729 44 68
c730 104 314
c731 64 138
c732 44 240
c733 104 191
c734 84 222
c735 64 329
c736 64 281
c737 64 264
c738 84 186
c739 84 303
c740 44 347
c741 84 143
c742 84 343
c743 104 377
c744 64 579
c745 44 248
c746 104 231
c747 124 105
c748 64 326
c749 64 258
c750 64 359
c751 64 393
c752 104 237
c753 84 363
c754 24 536
c755 124 248
c756 44 303
c757 84 472
c758 64 432
c759 84 415
c760 124 492
c761 144 334
c762 164 335
c763 124 369
c764 84 300
c765 104 277
c766 84 351
c767 24 510
c768 64 341
c769 84 648
c770 84 584
