39
0 12
12 12
24 12
36 12
48 12
60 8
68 12
80 8
88 12
100 8
108 12
120 8
128 12
140 8
148 12
160 8
168 12
180 8
188 12
200 8
208 12
220 8
228 12
240 8
248 12
260 8
268 12
280 8
288 12
300 8
308 12
320 8
328 12
340 8
348 12
360 8
c434 108 166
c435 48 252
c436 48 216
c437 36 253
c438 48 230
c439 12 239
c440 36 286
c441 68 202
c442 48 237
c443 68 224
c444 48 291
c445 108 230
c446 68 240
c447 148 201
c448 80 15
c449 80 132
c450 80 21
c451 100 33
c452 160 0
c453 80 24
c454 140 39
c455 60 54
c456 100 78
c457 120 15
c458 80 72
c459 100 69
c460 140 18
c461 100 138
c462 180 72
c463 100 81
c464 160 84
c465 100 177
c466 60 183
c467 60 165
c468 160 69
c469 80 138
c470 140 90
c471 200 93
c472 120 132
c473 160 111
c474 120 165
c475 120 120
c476 80 264
c477 100 219
c478 100 231
c479 120 297
c480 140 129
c481 140 162
c482 100 213
c483 160 165
c484 120 228
c485 140 159
c486 160 180
c487 180 285
c488 80 270
c489 100 264
c490 100 297
c491 140 189
c492 120 222
c493 140 204
c494 220 213
c495 180 273
c496 120 276
c497 200 234
c498 160 282
c499 120 279
c500 220 279
c501 180 294
c502 220 261
c503 240 255
c504 220 288
c505 200 225
c506 168 11
c507 68 6
c508 36 26
c509 108 36
c510 128 55
c511 48 33
c512 68 48
c513 48 27
c514 88 77
c515 108 58
c516 68 33
c517 148 72
c518 128 100
c519 24 34
c520 108 151
c521 148 83
c522 108 154
c523 88 113
c524 68 93
c525 68 54
c526 148 103
c527 108 222
c528 148 80
c529 88 130
c530 48 175
c531 88 154
c532 108 189
c533 108 203
c534 128 186
c535 36 168
c536 48 205
c537 148 163
c538 48 243
c539 108 206
c540 88 190
c541 48 269
c542 48 240
c543 68 170
c544 108 250
c545 88 210
c546 68 186
c547 108 258
c548 108 25
c549 148 11
c550 108 6
c551 68 25
c552 88 14
c553 128 38
c554 128 77
c555 168 45
c556 48 78
c557 188 105
c558 128 52
c559 108 111
c560 168 85
c561 88 60
c562 128 108
c563 108 131
c564 36 101
c565 108 86
c566 128 128
c567 108 125
c568 108 143
c569 128 169
c570 68 60
c571 68 147
c572 108 181
c573 108 169
c574 108 214
c575 48 187
c576 128 180
c577 168 173
c578 128 189
c579 48 266
c580 168 167
c581 148 186
c582 128 217
c583 128 251
c584 128 209
c585 68 210
c586 108 244
c587 108 274
c588 128 243
c589 148 204
c590 108 266
c591 88 218
c592 120 0
c593 160 12
c594 100 45
c595 160 9
c596 100 18
c597 160 60
c598 100 42
c599 140 0
c600 80 30
c601 140 72
c602 80 36
c603 100 99
c604 140 81
c605 140 54
c606 160 57
c607 120 45
c608 140 75
c609 100 51
c610 120 78
c611 120 150
c612 160 78
c613 120 114
c614 140 57
c615 140 105
c616 200 63
c617 80 120
c618 140 117
c619 80 171
c620 140 174
c621 140 132
c622 160 144
c623 120 201
c624 60 246
c625 140 96
c626 160 177
c627 80 228
c628 180 93
c629 120 195
c630 100 249
c631 200 144
c632 140 210
c633 220 93
c634 200 129
c635 180 156
c636 200 291
c637 140 282
c638 100 279
c639 140 180
c640 160 243
c641 220 267
c642 140 255
c643 220 243
c644 220 201
c645 240 258
c646 220 297
c647 240 189
c648 240 261
c649 48 9
c650 108 9
c651 128 19
c652 88 3
c653 108 17
c654 108 50
c655 108 61
c656 128 22
c657 148 19
c658 108 42
c659 88 63
c660 108 70
c661 128 69
c662 128 63
c663 128 119
c664 148 111
c665 108 137
c666 148 91
c667 88 88
c668 188 63
c669 188 91
c670 88 116
c671 108 175
c672 128 153
c673 88 162
c674 148 141
c675 228 168
c676 228 205
c677 128 223
c678 128 172
c679 108 160
c680 188 178
c681 168 164
c682 108 195
c683 148 175
c684 168 238
c685 148 220
c686 208 237
c687 168 232
c688 148 169
c689 128 229
c690 148 296
c691 168 286
c692 200 9
c693 140 3
c694 180 0
c695 120 30
c696 180 27
c697 100 36
c698 80 63
c699 120 63
c700 180 39
c701 220 24
c702 120 39
c703 180 102
c704 140 111
c705 100 84
c706 120 75
c707 80 108
c708 120 153
c709 100 15
c710 100 105
c711 140 102
c712 180 105
c713 180 123
c714 120 84
c715 80 219
c716 160 81
c717 180 114
c718 120 183
c719 200 114
c720 120 168
c721 180 189
c722 180 183
c723 180 78
c724 160 216
c725 180 192
c726 180 198
c727 120 219
c728 120 192
c729 100 207
c730 180 267
c731 140 171
c732 120 258
c733 180 225
c734 160 207
c735 160 270
c736 140 267
c737 140 249
c738 160 210
c739 180 297
c740 200 240
c741 160 204
c742 220 234
c743 240 264
c744 240 195
c745 140 288
c746 200 219
c747 200 186
c748 220 270
c749 140 6
c750 160 3
c751 120 27
c752 180 6
c753 160 21
c754 120 54
c755 200 0
c756 100 3
c757 160 54
c758 140 30
c759 140 36
c760 140 84
c761 220 45
c762 240 48
c763 200 48
c764 160 27
c765 200 24
c766 160 51
c767 120 93
c768 120 48
c769 140 153
c770 160 123
c771 80 222
c772 200 81
c773 160 102
c774 200 90
c775 160 132
c776 180 174
c777 220 87
c778 160 141
c779 160 117
c780 140 195
c781 200 105
c782 160 156
c783 160 168
c784 120 252
c785 160 150
c786 100 204
c787 200 231
c788 200 165
c789 140 165
c790 180 240
c791 140 273
c792 180 210
c793 260 235
c794 200 261
c795 160 195
c796 200 213
c797 220 276
c798 220 162
c799 140 219
c800 220 291
c801 160 255
c802 180 231
c803 240 201
c804 220 252
c805 240 12
c806 120 3
c807 140 9
c808 220 36
c809 180 60
c810 120 21
c811 220 21
c812 140 24
c813 200 21
c814 220 18
c815 160 45
c816 160 63
c817 160 42
c818 180 54
c819 120 57
c820 220 57
c821 140 66
c822 240 78
c823 180 63
c824 200 75
c825 160 114
c826 200 36
c827 120 96
c828 120 189
c829 180 177
c830 180 141
c831 100 126
c832 180 162
c833 140 141
c834 160 147
c835 200 99
c836 180 120
c837 200 150
c838 160 135
c839 200 201
c840 180 207
c841 240 108
c842 160 219
c843 140 201
c844 160 249
c845 220 111
c846 240 150
c847 180 237
c848 160 198
c849 180 243
c850 140 186
c851 220 222
c852 240 117
c853 200 246
c854 200 180
c855 240 267
c856 160 264
c857 200 237
c858 240 144
c859 200 3
c860 120 9
c861 140 42
c862 180 12
c863 160 39
